gene,clone1_exp,clone2_exp,log2_fc,fdr
Afp,0.0024973585630583,0.130938123752495,-5.71233842734504,9.88131291682493e-324
Aqp5,0.189895303044856,0.0173652694610778,3.45092751901243,9.88131291682493e-324
Ctnnb1,0.378253770050908,1.60219560878244,-2.08262392723316,9.88131291682493e-324
Eps8,0.103064066852368,0.732135728542914,-2.82856970370659,9.88131291682493e-324
Msn,0.125732398424743,0.918962075848303,-2.86964887705504,9.88131291682493e-324
Nrn1,0.15474017865719,0.922355289421158,-2.57547473632802,9.88131291682493e-324
Rasgrp3,0.0137354720968207,0.262075848303393,-4.25400600498255,9.88131291682493e-324
S100a4,1.71021035443281,0.580039920159681,1.55994968674953,9.88131291682493e-324
Tfap2b,0.0143117856113726,0,Inf,9.88131291682493e-324
Tm4sf1,0.0155604648929017,0.621357285429142,-5.31946599945261,9.88131291682493e-324
Tubb5,0.229660935548939,0.960878243512974,-2.06484815263092,9.88131291682493e-324
Pmepa1,0.102103544328115,0.548702594810379,-2.4259914508499,2.8857938899132e-311
Ctsl,0.281048890596484,0.813572854291417,-1.53345042289538,5.9311231120881e-311
Trbc2,0.00461050811641533,0.153293413173653,-5.05522614086805,4.41807987242573e-309
Cmss1,1.33022764383825,4.11596806387226,-1.62955863088259,1.19312328557228e-303
Emp1,0.462491595427913,1.8063872255489,-1.96560813499516,2.22011672446458e-301
Krt79,0.140428393045817,0.0111776447105788,3.65114653302678,2.87860034337409e-299
Sema3c,0.0173854576889828,0.261676646706587,-3.9118322240066,2.50815025168368e-280
Gap43,0.00192104504850639,0.10059880239521,-5.71057796948061,2.66916956659885e-279
Hsp90ab1,1.55556622802805,4.35888223552894,-1.48651840801265,5.73540803090479e-279
Nedd4,0.246854288733071,0.99940119760479,-2.01740423687057,2.98102065495289e-275
Txn1,0.542311017193353,1.48922155688623,-1.45736602035642,4.61555270816824e-273
Cnksr2,0.00172894054365575,0.109580838323353,-5.98596347843094,4.27494013658962e-272
Tpr,0.306406685236769,1.10159680638723,-1.84607660240752,1.38100210407934e-269
Pls3,0.0913456920564787,0.517764471057884,-2.50288737425919,2.94832525421444e-269
Vim,0.961194890020171,2.58662674650699,-1.42817100250066,2.65526993213158e-267
Tmsb4x,1.54077418115455,3.60219560878244,-1.2252210923721,3.92620647087719e-263
mt-Cytb,2.50859667659207,5.52694610778443,-1.13960200724796,2.8844556167468e-260
Ezr,0.100182499279608,0.474650698602794,-2.24423569809394,7.21866813386107e-253
Dek,0.219095187782153,0.773852295409182,-1.8205004293071,3.54514274790438e-249
Lars2,0.725674767073288,2.19520958083832,-1.5969636720769,8.48568036548647e-249
Ybx3,0.539237345115743,1.59281437125748,-1.56258582346524,6.92562642057827e-247
Smc2,0.0990298722505043,0.481836327345309,-2.28260748425497,2.93988357119848e-246
Sox4,0.0727115550859668,0.440518962075848,-2.59894756516193,8.41633531903523e-242
Prkg2,0.145999423686485,0.615568862275449,-2.07595758245214,2.10280891706848e-237
Gphn,0.460666602631832,1.21936127744511,-1.40433072253407,3.20396779337177e-235
1700012B09Rik,0.00192104504850639,0.0668662674650699,-5.12131533132583,6.3324302544431e-232
Anxa5,0.381423494380943,1.21077844311377,-1.66646927796776,1.81054980292184e-231
Rplp0,0.489290173854577,1.17385229540918,-1.26248867175579,1.30647739929331e-229
Uba1,0.0999903947747575,0.410578842315369,-2.03779786609357,4.61282842998045e-228
Cd9,0.203822879646528,0.700199600798403,-1.78045023239802,7.34677757168565e-228
Anp32b,0.283930458169244,1.02854291417166,-1.85699246387493,1.16542300409172e-227
Actb,1.52828738833926,3.56926147704591,-1.22370973232271,1.37062596068735e-227
Ncapd2,0.0624339640764576,0.383033932135729,-2.61706922914762,1.94674124270803e-227
Pthlh,0.0029776198251849,0.101596806387226,-5.09255167655687,3.17239916575747e-227
Ncl,1.34626836999328,3.15069860279441,-1.22670572146723,6.52345948320481e-225
Klhl1,0.0153683603880511,0.370658682634731,-4.59205614591611,4.17087597573062e-224
Ank3,0.0112381135337624,0.222554890219561,-4.30768941609232,3.35858614624888e-223
Hnrnpd,0.128229756987801,0.538922155688623,-2.07134580623133,3.04147226334003e-221
Hmga2,0.18653347420997,1.09780439121756,-2.55711455874824,2.92406047361713e-219
Speer4a,0.000480261262126597,0.0455089820359281,-6.56618806014543,6.15825318335623e-215
Kazald1,0.0753049659014504,0.00678642714570858,3.47202086199682,1.90471880670879e-210
Crip1,0.235231966189607,0.0544910179640719,2.10999377677607,2.80224299536453e-210
mt-Nd2,0.972625108058784,2.33033932135729,-1.26058430144263,9.70783773247348e-210
Gnb1,0.109499567764864,0.436526946107784,-1.99514553686404,8.42794094416615e-207
Gnas,0.679473633656709,1.5500998003992,-1.18987162907561,1.48389122722096e-205
Otud4,0.0435116703486697,0.309780439121757,-2.83177174300895,3.70584056627075e-200
Map1b,0.102583805590241,0.508982035928144,-2.31081174092672,1.16275680229126e-198
Rpl4,2.41206416290462,5.04411177644711,-1.06433196120498,1.78378796417592e-198
Stac,0.00115262702910383,0.0770459081836327,-6.06272067741498,3.74158292653653e-198
Ptchd1,0.000288156757275958,0.036127744510978,-6.9701095272301,5.52149710574449e-196
Kras,0.142061281337047,0.551497005988024,-1.95683965058148,1.74457629760445e-195
3830403N18Rik,0.000864470271827874,0.051497005988024,-5.89652839484899,7.92668984822617e-191
Myof,0.279992315819806,0.763672654690619,-1.44756713112631,6.52388953218333e-189
Cpne3,0.0548458361348574,0.254491017964072,-2.21416073725143,2.94327387698358e-188
Mapk6,0.0371722216885986,0.228542914171657,-2.62016826770795,4.26114046198912e-186
Tuba1a,0.275766016713092,0.783033932135729,-1.50563014573797,5.45764970133603e-184
Calm2,0.262991067140524,0.694411177644711,-1.40077637323004,8.43753221748916e-184
Tnnt2,0.362020939391029,0.120958083832335,1.58156595532335,1.03919121140048e-183
Rdx,0.11737585246374,0.383033932135729,-1.7063365672447,1.04536832925997e-183
Sptssb,0.0429353568341178,0.00179640718562874,4.57897987887295,1.91058099491448e-183
Sept7,0.280856786091634,0.836327345309381,-1.57423307350233,3.67896385588382e-183
Vcan,0.131207376812986,0.0105788423153693,3.63259517285884,1.16688021972684e-179
Setd8,0.0511958505426952,0.225548902195609,-2.13934147541143,2.06022482968306e-179
Rac1,0.182211122850831,0.493413173652695,-1.43718520536095,5.31816038351933e-178
Hmgb3,0.0199788685044664,0.131337325349301,-2.7167301964622,8.37821855303376e-178
Pbx1,0.104793007396023,0.589820359281437,-2.49273316960934,4.41553618333665e-176
Iqgap1,0.163673038132744,0.510179640718563,-1.64018864158921,1.05792044368725e-175
Igfbp6,0.0973009317068485,0.0159680638722555,2.60726422304572,1.47733338629568e-175
Cyp2c55,0.000576313514551916,0.044311377245509,-6.264679506497,1.5531248482294e-175
Flna,0.0898088560176736,0.400998003992016,-2.15866543482635,3.76356281812579e-175
Prdx5,0.32340793391605,0.941716566866267,-1.54193783827987,2.79460422549597e-174
Aldh3a1,0.125732398424743,0.0223552894211577,2.49166831901958,2.96900807149803e-173
Anp32e,0.197195274229181,0.6,-1.60533752267582,4.31302726215169e-173
Igf2bp3,0.0416866775525886,0.000798403193612774,5.70632509157643,5.27679530231108e-173
Chd4,0.255787148208625,0.691816367265469,-1.43544536681761,6.64505539025247e-173
Galnt1,0.0758812794160023,0.325349301397206,-2.10017354692203,1.12843356839375e-171
Kcnab1,0.00115262702910383,0.0596806387225549,-5.694265314345,2.61801361349671e-171
Cldn18,0.000576313514551916,0.0431137724550898,-6.22515114231036,9.28853195410664e-171
Hexb,0.32033426183844,0.973453093812375,-1.60353335183197,3.3478041086801e-170
Gsg1,0.00576313514551916,0.092814371257485,-4.00942245125493,7.48469804614293e-169
Kif23,0.0313130342906541,0.206786427145709,-2.72330627432353,1.64055457155336e-168
Zfhx4,0.0389011622322543,0.290419161676647,-2.90025148089171,2.53339688980172e-168
mt-Nd5,0.477283642301412,1.09281437125748,-1.19512956369384,3.15157299631367e-168
Ddx3x,0.109979829026991,0.347305389221557,-1.65896584861984,4.31272103649989e-168
mt-Nd4,1.96042647200077,4.07065868263473,-1.0540947262108,2.77477502510182e-167
Tpm4,0.173086158870426,0.493812375249501,-1.51247263003088,2.10869144987573e-163
mt-Rnr1,2.04485640188262,4.13393213572854,-1.01551517028118,1.66231196718307e-161
Fus,0.40303525117664,0.965269461077844,-1.26002570753991,7.32103251281324e-160
Camk1d,0.67207761021996,1.82255489021956,-1.43926251775327,1.98794369954456e-158
Tpm1,0.424070694457785,0.974650698602794,-1.20058048096969,2.61085521086882e-158
Atf7ip,0.0373643261934492,0.20499001996008,-2.45582026220006,3.49443394783435e-158
Atrx,0.211699164345404,0.675249500998004,-1.67340509409088,6.32656961709458e-157
Baz1b,0.128517913745077,0.449500998003992,-1.80635485230682,7.82290130439888e-156
Ube2r2,0.150898088560177,0.513373253493014,-1.7664336029018,7.96526636327271e-156
Gm15564,0.259148977043512,0.764471057884232,-1.5606801847321,1.40813509563753e-154
Vcp,0.0656997406589185,0.332335329341317,-2.33868008794078,3.28144349936854e-153
Ppfibp1,0.134857362405148,0.397205588822355,-1.5584516359945,1.04393936285638e-152
Hnrnpm,0.187782153491499,0.544710578842315,-1.53642992794748,2.61529174226066e-152
Rbbp4,0.11881663625012,0.41437125748503,-1.80218708424956,7.08003109320765e-152
Fkbp4,0.360676207857074,0.921956087824351,-1.35399377931546,7.29308344817347e-152
Tnfrsf22,0.00778023244645087,0.0914171656686627,-3.55457992608037,9.53824389768387e-152
Inpp4b,0.00826049370857747,0.118363273453094,-3.84084968071196,1.09359538473027e-151
Eif5b,0.246854288733071,0.648702594810379,-1.39389749958999,1.7003673151031e-151
Rab2a,0.140140236288541,0.503792415169661,-1.84595816793271,2.23233362287891e-150
Smarcc1,0.0925943713380079,0.328542914171657,-1.82708542505972,1.20203974486081e-149
Whsc1,0.0657957929113438,0.338522954091816,-2.36318641758336,2.13428908773263e-148
Bmp2,0.0129670540774181,0.144910179640719,-3.48223628181297,2.5953820220539e-148
2810474O19Rik,0.101815387570839,0.373453093812375,-1.87497143465828,6.43777969916775e-146
Ywhab,0.215349149937566,0.565069860279441,-1.39175161196837,2.18068516806012e-145
Senp6,0.0882720199788685,0.332135728542914,-1.91174480772011,2.41545054754354e-143
Morc4,0.0420708865622899,0.247904191616766,-2.55888853948736,3.34807280982834e-143
Cmas,0.0430314090865431,0.207584830339321,-2.2702390318389,6.16965589282218e-143
Ybx1,0.34886178080876,0.928942115768463,-1.41293314898249,6.11953633707106e-142
Lyar,0.0778023244645087,0.305988023952096,-1.97559002475484,1.98343074646329e-141
Gm14005,0.107482470463932,0.563073852295409,-2.38922277047723,3.55850122830786e-141
Rcan2,0.00124867928152915,0.0512974051896208,-5.36041097192084,1.36227146942795e-140
Smoc2,0.00230525405820766,0.0532934131736527,-4.53095957183445,4.30046933868444e-139
Rpl13,0.959658053981366,0.469860279441118,1.03028862346385,4.9194382114777e-139
Mki67,0.18345980213236,0.587225548902196,-1.67845074919977,1.62770543008527e-138
Ppig,0.241571414849678,0.659680638722555,-1.44931801257022,1.75167490016284e-138
Smc4,0.444721928729229,1.01816367265469,-1.1949940481174,5.18345028284195e-138
Syncrip,0.126308711939295,0.415968063872255,-1.7195186189669,1.98461380311615e-137
Cenpe,0.145038901162232,0.561077844311377,-1.95176104503595,1.1715349491565e-136
Eef1a1,0.359907789837672,0.874451097804391,-1.28075037786189,1.80539276565404e-136
Zbtb38,0.059840553260974,0.240119760479042,-2.00455871502013,3.01103110466408e-136
Efemp1,0.0637786956104121,0.00558882235528942,3.51245836842127,2.01763024000212e-135
Smarca4,0.0472577081932571,0.202794411177645,-2.10139632230098,2.1135537173685e-135
Dnmt1,0.0310248775333782,0.178443113772455,-2.52396680735745,1.44701805365459e-134
Rbbp7,0.10834694073576,0.336926147704591,-1.63677397717644,1.90777353785505e-133
Snrnp70,0.208241283258092,0.501996007984032,-1.26941978420707,3.85278018196079e-133
Sept11,0.136298146191528,0.415169660678643,-1.60693507983596,4.73285750657438e-132
Bclaf1,0.195754490442801,0.501996007984032,-1.35863048939513,8.64443060991e-132
Unc13c,0.00182499279608107,0.0788423153692615,-5.43300747048893,1.15066194358992e-131
Arhgef28,0.00489866487369129,0.0836327345309381,-4.09360723259591,2.37468355820558e-131
Anln,0.0572471424454903,0.244910179640719,-2.0969771540688,5.85145929980636e-131
Huwe1,0.0644510613773893,0.284431137724551,-2.14180338860734,5.95934406718769e-131
Tcp1,0.179233503025646,0.511976047904192,-1.51423598051071,6.8346014286778e-131
Bmp4,0.0694457785035059,0.00958083832335329,2.85766319536191,3.40828169402342e-130
Pdcd6ip,0.0660839496686197,0.216966067864271,-1.71509761119326,8.92804277193888e-129
Denr,0.102583805590241,0.341117764471058,-1.73346689085664,1.4069109395062e-128
Eif4h,0.0707905100374604,0.269860279441118,-1.93058476805517,7.23380378095681e-128
Cenpf,0.193353184132168,0.554890219560878,-1.52096385155758,1.13291554010521e-127
Rgs20,0.00461050811641533,0.0848303393213573,-4.20158267117196,1.78655533286254e-127
Ckap5,0.0776102199596581,0.299800399201597,-1.94968375563053,2.30565106132314e-127
Myl12a,0.179617712035347,0.481037924151697,-1.42122101721038,1.39464348372865e-126
Pdap1,0.304389587935837,0.673652694610778,-1.14608598331137,1.26438717997725e-125
Fgf13,0.00403419460186341,0.136526946107784,-5.08076123297519,1.33230450856331e-125
Pkm,0.151474402074729,0.469061876247505,-1.6307042375299,3.10948578832153e-125
Sfpq,0.201229468831044,0.529141716566866,-1.3948125671486,8.88417870479169e-125
Park7,0.15637306694842,0.444510978043912,-1.5072269993896,8.95809221672878e-124
Pdha1,0.0562866199212372,0.221357285429142,-1.97551293660751,1.81951782096374e-123
Myef2,0.0288156757275958,0.140319361277445,-2.28378832944471,3.37210095326772e-123
Cct2,0.245605609451542,0.571457085828343,-1.21830165062576,2.22479655640009e-122
Gm10036,0.0704063010277591,0.213572854291417,-1.60095183402275,2.2864076154896e-122
Eif4g2,0.196907117471905,0.496407185628743,-1.33400873869215,2.29104310418017e-121
Psip1,0.112957448852176,0.3375249500998,-1.57921474044167,4.01137102715974e-121
Eif3a,0.636058015560465,1.31716566866267,-1.05020654788499,1.55678573279456e-120
Zfp462,0.0205551820190183,0.165469061876247,-3.00898744596266,2.07203952393429e-119
Elmod1,0.00124867928152915,0.0526946107784431,-5.39918054208541,1.64328001229806e-118
Ywhae,0.442992988185573,0.90499001996008,-1.03061801895707,4.31270193412555e-118
Nop2,0.0334261838440111,0.165469061876247,-2.30751093651507,4.36908505470806e-118
Tln1,0.123427144366535,0.355289421157685,-1.52533502264057,5.36332922388314e-118
Psma4,0.161079627317261,0.413572854291417,-1.36036745499026,1.18165772709538e-117
Ssb,0.396311593506868,0.896806387225549,-1.17816138150501,1.22685772093777e-117
Gm7361,0.000288156757275958,0.0289421157684631,-6.65017273016183,1.22849699011996e-117
Smc1a,0.110748247046393,0.335329341317365,-1.5982948608824,1.71379376613177e-117
Ankrd1,0.0411103640380367,0.217764471057884,-2.40519454079051,4.22832487208505e-117
Aebp2,0.0798194217654404,0.278642714570858,-1.80360470030736,6.1631679778713e-116
AI314180,0.0576313514551916,0.22315369261477,-1.95311192321536,7.20735679985331e-116
Naa15,0.0898088560176736,0.287225548902196,-1.67725446283335,4.36432461929192e-115
Prpf40a,0.173758524637403,0.448303393213573,-1.36739166064741,6.84361771701417e-115
Thoc2,0.0880799154740179,0.307584830339321,-1.80409936378778,7.52208599989162e-115
Gm26561,0.157333589472673,0.447704590818363,-1.50872040431332,2.40050202099759e-114
Dhx9,0.136778407453655,0.418163672654691,-1.61222723848837,4.94383312431097e-114
Fam111a,0.0818365190663721,0.278443113772455,-1.76656592735876,9.91164494022351e-114
Fn1,0.502065123427144,1.1001996007984,-1.13181886961245,1.62222170787333e-113
Top2a,0.30679089424647,0.738323353293413,-1.26699712858082,4.20130386181778e-113
Clta,0.198251849005859,0.479441117764471,-1.27401932115043,1.63972721082273e-112
Arntl2,0.0267025261742388,0.145109780439122,-2.44209662206414,2.13964145759773e-112
Gpm6b,0.00403419460186341,0.0678642714570858,-4.07229965422699,2.34769837505907e-112
Rad23b,0.087503601959466,0.291816367265469,-1.73764649301844,1.7170712151068e-111
Bag1,0.234943809432331,0.55189620758483,-1.23208121746274,6.09958745303893e-111
Ifitm3,0.791278455479781,0.381636726546906,1.05198546201946,6.41975774991864e-111
Srrm2,0.145807319181635,0.394810379241517,-1.4370967762117,1.66711740896444e-110
Ywhag,0.0795312650081644,0.299201596806387,-1.91152385131659,2.38823626510509e-110
Lrrfip1,0.104120641629046,0.338522954091816,-1.70099755407738,3.3164191158938e-110
Dkc1,0.0729036595908174,0.277644710578842,-1.92917676999483,3.86124051743538e-110
Psmd14,0.102295648832965,0.32435129740519,-1.66481242855803,2.75022649384287e-109
Cdh13,0.170588800307367,0.702195608782435,-2.04135004198991,3.58703983359481e-109
Eif1ax,0.0726155028335414,0.22435129740519,-1.62741003686791,2.27422776333985e-108
Strap,0.104696955143598,0.287225548902196,-1.45596459794406,7.87235739386681e-107
Wbp11,0.0516761118048218,0.190818363273453,-1.88463058629218,1.95980213736255e-106
Adgrl3,0.135337623667275,0.571057884231537,-2.0770740268816,5.76066316662127e-106
Kcnq1,0.0669484199404476,0.006187624750499,3.4355923946135,2.10166465677154e-105
Pcyt1b,0.00201709730093171,0.0510978043912176,-4.66290871808929,2.44614399519913e-105
Fbln2,0.0720391893189895,0.0139720558882236,2.36623762757022,2.99807121140074e-105
Timp3,0.226587263471328,0.0634730538922156,1.83585060708705,5.4397549925396e-105
Mdh2,0.132936317356642,0.344311377245509,-1.37297855978422,2.85093317424852e-104
Rn18s-rs5,0.13236000384209,0.341716566866267,-1.36833295456491,4.01971218437447e-104
Tardbp,0.137738929977908,0.367864271457086,-1.41723718779686,4.35709773805866e-104
Phip,0.0555182019018346,0.208183632734531,-1.90682390088714,4.69525578536608e-104
Smim10l1,0.10690615694938,0.316966067864271,-1.56798346066905,5.10773870306712e-104
Arih1,0.0519642685620978,0.207584830339321,-1.99810917006969,6.11087915586199e-104
Pdlim2,0.0656997406589185,0.011377245508982,2.5297363598531,9.02131150238799e-104
Acot7,0.0441840361156469,0.179241516966068,-2.02030772466482,5.54648139415135e-103
Tead2,0.0282393622130439,0.120558882235529,-2.09395853535677,2.55624416098986e-102
Ncbp1,0.0358274901546441,0.149900199600798,-2.06486341812709,4.85304569914561e-102
2010300C02Rik,0.0192104504850639,0.000399201596806387,5.58863004890667,5.02145157573726e-102
Dynlt3,0.0755931226587264,0.2187624750499,-1.53303839832109,9.20842614869114e-102
Cdc37,0.0532129478436269,0.199800399201597,-1.90871023365486,1.19776511446645e-101
Ssrp1,0.188934780520603,0.488223552894212,-1.36965358711691,1.7147283504567e-101
Tyms,0.0480261262126597,0.182834331337325,-1.92864564430291,2.04854332157757e-101
Larp7,0.0385169532225531,0.164071856287425,-2.09076229809482,6.60455697744763e-101
Syt7,0.00432235135913937,0.0522954091816367,-3.59679604607583,1.04575765968637e-100
Lpar1,0.0101815387570839,0.0798403193612774,-2.97116187607958,1.78061119313702e-100
Gpx8,0.0572471424454903,0.180439121756487,-1.65623658282108,5.21370653161733e-100
Ccnd1,0.34146575737201,0.763473053892216,-1.16083632882865,6.29908260300068e-100
Etnk1,0.0295840937469984,0.139920159680639,-2.24171023418377,6.90511671340293e-100
Srrm1,0.0957640956680434,0.291217564870259,-1.60454061438775,6.93324359469215e-100
Pfdn5,0.453654788204783,0.199001996007984,1.18881198488432,7.50098609703913e-100
Anxa3,0.188454519258477,0.454291417165669,-1.2694016569554,1.67816051070486e-99
Rin2,0.0486024397272116,0.219960079840319,-2.1781410747449,4.03011977857503e-99
Ddx6,0.120065315531649,0.354890219560878,-1.56355337014837,4.7367635022156e-99
Sltm,0.10075881279416,0.308383233532934,-1.61381830108252,4.9766489770927e-99
Irx2,0.000384209009701277,0.0269461077844311,-6.13204173791888,1.87674066796911e-98
Rcc2,0.054749783882432,0.22814371257485,-2.05901772003043,5.41303405365758e-98
Sox2,0.00432235135913937,0.0612774451097804,-3.82546788990856,5.52763568747753e-98
Gar1,0.0765536451829795,0.278642714570858,-1.86387345308723,5.60793551161035e-98
Abce1,0.0615694938046297,0.203592814371257,-1.72539903110817,9.15212703029504e-98
Papss1,0.0296801459994237,0.137325349301397,-2.21002786766578,9.99932936712808e-98
Hnrnpa0,0.12189030832773,0.327744510978044,-1.42698819880475,1.08442492314579e-97
Apbb2,0.0828930938430506,0.312574850299401,-1.91487788898014,1.43148565868507e-97
Hp1bp3,0.0858707136682355,0.290818363273453,-1.75988028174925,1.74495536742241e-97
Adss,0.068581308231678,0.240518962075848,-1.81026330795628,1.90712896269811e-97
Cttn,0.0420708865622899,0.14750499001996,-1.80986963541303,2.32460852084888e-97
Pls1,0.00259341081548362,0.0481037924151697,-4.21322797493455,2.36286444298731e-97
Srsf3,0.143790221880703,0.321556886227545,-1.1611084135162,2.68572411315516e-97
Usp9x,0.0406301027759101,0.17125748502994,-2.07554612524765,3.76277760328224e-97
Ppp1r14b,0.121410047065604,0.303193612774451,-1.32035154719303,4.27929709896816e-97
Golga4,0.137642877725483,0.34810379241517,-1.33858757138283,5.32838724595783e-97
Ltbr,0.0703102487753338,0.228942115768463,-1.70317597859984,7.23191485247918e-97
Smu1,0.0539813658630295,0.177045908183633,-1.71359011494819,1.03524246040831e-96
Bod1l,0.109307463260013,0.326946107784431,-1.58066094020248,4.50889191227241e-96
Coro1c,0.0795312650081644,0.265069860279441,-1.73677861471565,1.45784810126734e-95
Onecut2,0.0900970127749496,0.300199600798403,-1.73637088003031,1.47944816389577e-95
Nap1l1,0.161079627317261,0.383632734530938,-1.25195178807746,1.59879263591389e-95
Hnrnpr,0.0628181730861589,0.221956087824351,-1.82102038809348,3.884269914164e-95
Cacna2d1,0.00691576217462299,0.111177644710579,-4.00683465676577,5.01566491456566e-95
Prrc2c,0.236864854480838,0.559680638722555,-1.24053969047584,5.24420535254712e-95
Arhgap11a,0.0494669099990395,0.157085828343313,-1.66701734430496,5.39558903095663e-95
Pogk,0.0115262702910383,0.0878243512974052,-2.92969525878419,5.5186437455617e-95
Tpm3,0.148304677744693,0.355688622754491,-1.26205072512189,5.81630941499838e-95
Lmna,0.301700124867928,0.657684630738523,-1.1242806631115,1.96841154916916e-94
Map3k7,0.020747286523869,0.099001996007984,-2.25453494909146,2.34525066219164e-94
Wdr1,0.0537892613581789,0.180039920159681,-1.74292674717847,3.07992921339673e-94
4930467D21Rik,0.0238209586014792,0.213572854291417,-3.16442491176969,6.1211004726058e-94
Strbp,0.0217078090481222,0.136327345309381,-2.65078894674296,8.43823197514456e-94
Hnrnpk,0.145423110171934,0.358682634730539,-1.30245134439226,1.44002889824404e-93
Luzp1,0.0586879262318701,0.183433133732535,-1.64411862233836,2.8858959532243e-93
Dpy19l1,0.0510037460378446,0.169061876247505,-1.7288762493961,4.3392041874788e-93
Cap1,0.052924791086351,0.206586826347305,-1.96473268468358,1.02842420551821e-92
Foxm1,0.0261262126596869,0.111976047904192,-2.09962026022651,1.14358817509187e-92
Tpx2,0.0596484487561233,0.208582834331337,-1.80606390961582,1.8378218171988e-92
Gm12648,0.00230525405820766,0.0608782435129741,-4.72292907259714,2.20530866420855e-92
Zfp292,0.0456248199020267,0.197804391217565,-2.11618368483623,2.52985661566988e-92
Mir6236,0.0901930650273749,0.251297405189621,-1.47830736093329,3.26933437789851e-92
Cpe,0.132648160599366,0.329540918163673,-1.31285294152326,3.5394612413713e-92
Tjp2,0.0867351839400634,0.26686626746507,-1.62142771348055,3.65823951961969e-92
Arl4c,0.0776102199596581,0.244311377245509,-1.65440250080891,5.52548244610126e-92
Polr2m,0.043607722601095,0.156287425149701,-1.84154615086818,7.28555072095951e-92
Capn2,0.0870233406973394,0.25189620758483,-1.53335509580437,8.27301061088946e-92
Eif3b,0.136778407453655,0.331337325349301,-1.27646023613594,2.53241685115183e-91
Acsbg1,0.0145038901162232,0.0868263473053892,-2.58169299227906,4.25106446610921e-91
Mdn1,0.0398616847565075,0.173652694610778,-2.12313020536986,6.18573203279869e-91
Sbno1,0.0923062145807319,0.294211576846307,-1.67235432918937,9.2686391948492e-91
Fip1l1,0.0803957352799923,0.265069860279441,-1.72118175966463,1.23129014227505e-90
Top1,0.174142733647104,0.419960079840319,-1.2699819204162,1.51950123811265e-90
Nkx2-3,0.022860436077226,0.00159680638722555,3.83959162243989,3.00792738244532e-90
Celf1,0.0779944289693593,0.23313373253493,-1.57971478256289,4.10351893540193e-90
Pcolce2,0.00451445586399001,0.0624750499001996,-3.79065613612303,4.22095772056689e-90
Lin28b,0.0127749495725675,0.000199600798403194,6.00005629463314,1.19940068060654e-89
Idh3g,0.0819325713187974,0.210379241516966,-1.36048336118698,1.20683718699193e-89
Prdx2,0.131591585822688,0.293612774451098,-1.15784749427499,1.73828200448739e-89
Xrn2,0.0912496398040534,0.261077844311377,-1.51658926314783,3.34946519457133e-89
Cct6a,0.1278455479781,0.38502994011976,-1.59056871300526,1.26190175658664e-88
Abcf1,0.146479684948612,0.346506986027944,-1.24218384597492,1.60092675785156e-88
Ptpn11,0.0646431658822399,0.196007984031936,-1.60034266057243,1.65495120895475e-88
Gnai2,0.226491211218903,0.481636726546906,-1.08849033810404,1.98956976885139e-88
Mex3a,0.0248775333781577,0.124950099800399,-2.32843670011412,3.55357658420005e-88
Nckap1,0.0597445010085487,0.199800399201597,-1.74168162957344,4.74284344589711e-88
2610203C20Rik,0.0910575352992028,0.275848303393214,-1.59902479235805,6.52897398544249e-88
Mapre1,0.0749207568917491,0.241516966067864,-1.6886871592804,1.23131199585195e-87
Brd2,0.0940351551243877,0.238323353293413,-1.34164821252916,1.57165755631283e-87
Krt14,0.0289117279800211,0.00179640718562874,4.00846853444934,3.78532150692499e-87
Ebna1bp2,0.100854865046585,0.26626746506986,-1.40059547949915,3.96320882889659e-87
Ubc,0.10834694073576,0.263273453093812,-1.2809036377208,4.88482981980083e-87
H2afy,0.0758812794160023,0.220359281437126,-1.53804175458176,8.35238073996757e-87
Itgb3,0.0774181154548074,0.0173652694610778,2.15646639181119,1.38757886757528e-86
Map2,0.00528287388339257,0.0604790419161677,-3.51704041081634,4.01328091514704e-86
Pum1,0.0562866199212372,0.174451097804391,-1.6319587559464,4.02636731795248e-86
Tuba4a,0.112381135337624,0.277245508982036,-1.30276421037868,4.50350170863527e-86
Tspo,0.371626164633561,0.172055888223553,1.11097481348607,1.23835102236441e-85
Cox5a,0.07818653347421,0.213572854291417,-1.44973623789031,4.34208635793343e-85
Impad1,0.0333301315915858,0.137924151696607,-2.04897618867805,4.75789798381592e-85
Emp3,0.268658150033618,0.108782435129741,1.30432597794385,5.5340666244585e-85
Anxa6,0.0653155316492172,0.216966067864271,-1.73197142975766,6.2746131662803e-85
Grik5,0.0260301604072616,0.00159680638722555,4.02692290048582,6.48458888015118e-85
Tmprss11b,0.000672365766977236,0.031936127744511,-5.56979931369781,1.21647975407053e-84
Zranb2,0.110075881279416,0.276047904191617,-1.32642025326164,1.24275245173925e-84
Ngfrap1,0.0655076361540678,0.207584830339321,-1.66396602487233,1.709669312552e-84
Hspa4l,0.0590721352415714,0.177045908183633,-1.58357383494251,1.75642824699054e-84
Wbp5,0.100086447027183,0.259281437125749,-1.37327229403743,2.08050990393213e-84
Acan,0.000480261262126597,0.0261477045908184,-5.76672104751814,2.26232874308774e-84
Pacrg,0.0349630198828162,0.19001996007984,-2.4422492639773,4.11826555108839e-84
Cdc42,0.161944097589088,0.41437125748503,-1.35542804828385,5.18068533487832e-84
Klra4,0.057151090193065,0.18562874251497,-1.69956718866814,9.35497197671423e-84
Zbtb20,0.210450485063875,0.497405189620758,-1.24094072490183,1.65019844895347e-83
