gene,clone1_exp,clone2_exp,log2_fc,fdr
Aspscr1,0.00585918739794448,0.012375249500998,-1.07868511369204,1.60596710913157e-05
Camkk1,0.00316972433003554,0.00918163672654691,-1.53439397756661,1.65161729317199e-05
Akt1s1,0.00701181442704831,0.0143712574850299,-1.03532658343035,1.66381871912582e-05
Calcrl,0.00576313514551916,0.0141716566866267,-1.29808266476422,1.66432961120564e-05
Zfp874b,0.00182499279608107,0.00578842315369262,-1.66527962255204,1.70729718071766e-05
Mpv17l,0.00441840361156469,0.0105788423153693,-1.25958463937424,1.7587561964254e-05
Cenpt,0.00950917299010662,0.019560878243513,-1.04057936490365,1.81573884394426e-05
Tap1,0.00979732974738258,0.00399201596806387,1.29527110621608,1.82182953851843e-05
Mthfsl,0.00422629910671405,0.012375249500998,-1.54999083261763,1.95109811036009e-05
Mtx3,0.00441840361156469,0.0111776447105788,-1.33901910686864,1.96003796041916e-05
Sacs,0.0103736432619345,0.0213572854291417,-1.04180562510573,1.96344691363264e-05
Lyst,0.011718374795889,0.0235528942115768,-1.00713185266701,2.03007005601852e-05
Ttpal,0.00835654596100279,0.0173652694610778,-1.05522614086805,2.08890047926924e-05
Klhl11,0.00441840361156469,0.0107784431137725,-1.28655168697451,2.11212418765445e-05
Rmi1,0.00470656036884065,0.0105788423153693,-1.16843675131604,2.13744101215167e-05
Zfp143,0.00778023244645087,0.0163672654690619,-1.07292814260151,2.14442770906069e-05
Dffa,0.00441840361156469,0.0101796407185629,-1.20408952678254,2.1525832986354e-05
Fzd5,0.0034578810873115,0.00898203592814371,-1.37715423575542,2.25614782113547e-05
Gm21092,0.00422629910671405,0.0107784431137725,-1.35068202439422,2.30116160844926e-05
Lemd3,0.011718374795889,0.0235528942115768,-1.00713185266701,2.31948631241599e-05
Smcr8,0.0059552396503698,0.013373253493014,-1.16711902093895,2.35894189039597e-05
Btf3l4,0.00480261262126597,0.0115768463073852,-1.2693509462209,2.45012571971662e-05
Slc41a1,0.00854865046585342,0.0179640718562874,-1.07134580623133,2.51037825755739e-05
Ube2cbp,0.00509076937854193,0.0125748502994012,-1.30458560980477,2.54780283267792e-05
Anks1b,0.00422629910671405,0.0103792415169661,-1.29623424037185,2.60420730959486e-05
Acap3,0.00374603784458746,0.00998003992015968,-1.41368011178053,2.62362276431578e-05
Abcc9,0.0107578522716358,0.0229540918163673,-1.09336126975482,2.74034044246408e-05
Zbtb5,0.0034578810873115,0.00998003992015968,-1.52915732920047,2.7592970373243e-05
Zbtb8a,0.00288156757275958,0.00858283433133732,-1.57460029996163,2.80086010443731e-05
Traf6,0.00787628469887619,0.0165668662674651,-1.07271356759689,2.88316297888962e-05
Mybl1,0.00355393333973682,0.00898203592814371,-1.33762587156878,2.89955654672215e-05
Fign,0.00480261262126597,0.00159680638722555,1.58863004890667,2.96397764179358e-05
Mid2,0.00633944866007108,0.0143712574850299,-1.18075702295191,2.98527101123165e-05
Ppfibp2,0.00681970992219768,0.0137724550898204,-1.01400347814154,3.14757575566508e-05
Mlst8,0.00432235135913937,0.0107784431137725,-1.31826054670185,3.16592778755026e-05
Sned1,0.00768418019402555,0.00279441117764471,1.45934703196171,3.17345305961303e-05
Mfsd7b,0.00461050811641533,0.0111776447105788,-1.2776185622045,3.29527016937447e-05
