xcoord,ycoord,dna_cluster
2273.96,3070.925,3
3081.715,1541.02,3
2320.175,3105.635,3
3200.405,1563.055,2
2380.365,3177.265,0
3229.525,1289.665,1
2602.535,2578.355,3
1424.735,3230.695,0
2737.93,1909.895,2
3063.58,1027.325,2
1139.255,2461.355,2
3119.22,1416.48,2
2881.125,1792.765,2
3232.775,1773.98,2
2408.705,2784.86,0
2451.605,1018.875,2
2191.995,3020.615,3
2717.91,1399.71,1
2748.85,1141.595,2
2887.495,1167.79,2
3140.67,1457.56,2
2769.39,1245.725,2
3128.125,1521.845,3
3077.815,1239.29,2
3226.145,1679.405,2
2263.885,3371.42,0
1246.375,2527.395,2
1547.65,2655.315,0
2462.135,2402.205,3
2634.385,2940.99,3
2250.3,2789.475,3
2765.425,2719.665,3
2781.935,1116.05,2
2706.99,2210.78,0
2910.505,1234.74,2
3029.195,1188.07,2
2749.045,1165.385,0
2802.995,1697.54,0
1215.695,3015.22,0
2089.295,2830.62,3
2755.22,1518.79,1
2388.75,3093.09,3
2470.325,1062.165,2
2280.785,3347.11,0
1132.365,2552.355,2
1271.205,3091.205,0
898.105,2698.735,0
3212.365,1606.475,2
2979.925,1065.35,2
1140.035,3106.935,0
3341.65,1345.11,2
2422.94,2758.47,3
2358.46,2935.01,3
2043.08,3278.665,0
2009.345,3089.97,3
1218.945,3048.175,0
1006.72,2953.86,0
3386.825,1413.165,2
2541.5,2864.485,3
3045.12,1508.845,0
2344.03,3016.715,3
1353.56,3103.49,0
2967.055,1312.805,0
2101.775,3304.145,0
681.33,2531.945,0
3010.67,1492.075,2
2380.17,2746.9,3
2847.39,1064.895,0
2814.63,1144.195,2
1339.39,3204.76,0
2376.205,3020.68,3
3447.665,2117.505,2
2885.74,872.625,2
2842.32,2519.01,2
2563.99,2848.43,3
2779.66,1569.685,1
2620.215,2979.73,0
2526.55,2849.405,3
2365.48,2914.405,3
2225.34,2946.19,3
2990.195,1523.47,2
2474.81,2379.455,3
3149.575,1562.86,3
1033.5,3032.38,0
3279.77,1365.715,1
2578.745,925.405,2
3388.515,2122.77,2
2197.585,3255.135,0
1974.765,1138.28,0
2388.1,3380.975,0
2979.21,1595.62,2
3114.865,1564.03,3
2122.51,3373.825,0
2871.635,1388.14,2
2612.545,3292.12,0
2333.955,2912.78,3
2542.085,2946.32,3
2195.375,3451.695,0
2165.15,3490.76,0
2665,2965.365,3
2078.05,770.575,2
3072.94,1250.47,2
2485.47,704.145,2
2574,1593.67,1
2148.9,2957.305,3
2431.52,2921.1,3
3043.69,1389.83,2
2141.88,3176.485,0
1286.285,3044.015,0
1083.615,2923.765,0
2222.09,3389.1,0
2192.19,2908.035,3
1493.375,2534.74,2
2258.555,3254.615,0
2432.82,3302.13,0
2315.235,2934.88,3
2622.555,2747.29,3
2367.3,3352.31,0
2732.08,1288.755,2
3238.625,1604.72,2
2875.6,814.32,1
2687.88,996.515,0
3073.265,1357.59,2
3031.405,978.315,3
2306.2,2159.105,3
1951.17,3107.715,3
2804.36,951.99,2
2766.27,1208.025,2
2730.91,2813.395,3
2892.89,1158.105,2
2587.845,3244.93,0
1076.53,2713.75,0
3063.385,1482.585,2
2626.195,1753.05,2
2241.785,3009.955,3
2472.99,2899.065,3
2109.38,3138.135,3
2617.81,1002.04,2
2497.625,2723.37,3
2455.765,990.86,2
2960.035,1396.46,0
3159.39,1453.01,2
2376.4,3102.125,3
1317.875,2579.33,2
2193.555,2896.66,3
3036.475,1649.765,2
2736.76,1020.045,2
2286.505,3313.115,0
3386.825,1442.805,2
2965.17,1507.35,2
1123.98,2615.6,2
2073.5,3367.39,0
3380.39,1534.91,2
3097.705,1801.475,0
